scenario	round	scheduler	event	count	first_timestamp	last_timestamp	duration_ms
4	1	kueue	job-create	1	2026-08-12T11:20:33.162611Z	2026-08-12T11:20:33.162611Z	0
4	1	kueue	pod-create	10000	2026-08-12T11:20:33.199113Z	2026-08-12T11:20:52.433220Z	19234
4	1	kueue	pod-bind	10000	2026-08-12T11:20:33.212852Z	2026-08-12T11:20:53.128549Z	19916
4	1	volcano	job-create	1	2026-08-12T11:22:13.564349Z	2026-08-12T11:22:13.564349Z	0
4	1	volcano	pod-create	10000	2026-08-12T11:22:13.941308Z	2026-08-12T11:22:22.934435Z	8993
4	1	volcano	pod-bind	10000	2026-08-12T11:22:14.908289Z	2026-08-12T11:22:31.711811Z	16803
4	1	yunikorn	job-create	1	2026-08-12T11:23:55.702886Z	2026-08-12T11:23:55.702886Z	0
4	1	yunikorn	pod-create	10000	2026-08-12T11:23:55.718647Z	2026-08-12T11:24:15.018835Z	19300
4	1	yunikorn	pod-bind	10000	2026-08-12T11:23:57.894668Z	2026-08-12T11:24:16.090910Z	18196
4	2	kueue	job-create	1	2026-08-12T11:25:41.977161Z	2026-08-12T11:25:41.977161Z	0
4	2	kueue	pod-create	10000	2026-08-12T11:25:42.011982Z	2026-08-12T11:26:01.250144Z	19239
4	2	kueue	pod-bind	10000	2026-08-12T11:25:42.023103Z	2026-08-12T11:26:01.725278Z	19702
4	2	volcano	job-create	1	2026-08-12T11:27:28.117862Z	2026-08-12T11:27:28.117862Z	0
4	2	volcano	pod-create	10000	2026-08-12T11:27:29.030212Z	2026-08-12T11:27:37.784530Z	8754
4	2	volcano	pod-bind	10000	2026-08-12T11:27:30.002931Z	2026-08-12T11:27:47.393061Z	17391
4	2	yunikorn	job-create	1	2026-08-12T11:29:18.823926Z	2026-08-12T11:29:18.823926Z	0
4	2	yunikorn	pod-create	10000	2026-08-12T11:29:18.839792Z	2026-08-12T11:29:38.148083Z	19309
4	2	yunikorn	pod-bind	10000	2026-08-12T11:29:21.149477Z	2026-08-12T11:29:39.240981Z	18091
6	1	kueue	job-create	500	2026-08-12T11:31:16.701662Z	2026-08-12T11:31:26.200399Z	9499
6	1	kueue	pod-create	10000	2026-08-12T11:31:16.737315Z	2026-08-12T11:31:26.319449Z	9582
6	1	kueue	pod-bind	10000	2026-08-12T11:31:16.910239Z	2026-08-12T11:32:07.837435Z	50927
6	1	volcano	job-create	500	2026-08-12T11:33:17.001985Z	2026-08-12T11:33:20.824501Z	3823
6	1	volcano	pod-create	10912	2026-08-12T11:33:17.244423Z	2026-08-12T11:33:32.347326Z	15103
6	1	volcano	pod-bind	10000	2026-08-12T11:33:18.327266Z	2026-08-12T11:33:36.354634Z	18027
6	1	yunikorn	pod-create	5699	2026-08-12T11:35:47.627213Z	2026-08-12T11:36:26.219225Z	38592
6	1	yunikorn	pod-bind	13580	2026-08-12T11:35:48.659246Z	2026-08-12T11:36:39.309316Z	50650
6	2	kueue	job-create	500	2026-08-12T11:37:20.509173Z	2026-08-12T11:37:29.742373Z	9233
6	2	kueue	pod-create	10000	2026-08-12T11:37:20.544803Z	2026-08-12T11:37:29.841333Z	9297
6	2	kueue	pod-bind	10000	2026-08-12T11:37:20.722913Z	2026-08-12T11:38:10.445564Z	49723
6	2	volcano	job-create	500	2026-08-12T11:38:51.432805Z	2026-08-12T11:38:55.424167Z	3992
6	2	volcano	pod-create	11537	2026-08-12T11:38:52.140810Z	2026-08-12T11:39:06.061317Z	13921
6	2	volcano	pod-bind	10000	2026-08-12T11:38:53.376821Z	2026-08-12T11:39:12.386562Z	19010
6	2	yunikorn	job-create	500	2026-08-12T11:40:05.982224Z	2026-08-12T11:40:10.294650Z	4312
6	2	yunikorn	pod-create	20000	2026-08-12T11:40:06.000860Z	2026-08-12T11:41:13.519712Z	67519
6	2	yunikorn	pod-bind	20000	2026-08-12T11:40:08.606049Z	2026-08-12T11:41:27.020060Z	78414
